id,track_name,artist_name,genre,duration_ms,year,popularity,explicit
02BsTeJE4q5gWOTt58ur5U,I Can't Tell You Why - Eagles 2013 Remaster,Eagles,Folk,295050,1979,61,0
02BumRY2OTFMkMxrXSVMat,A Game of Badminton,Dario Marianelli,Soundtrack,58387,2011,51,0
02CygBCQOIyEuhNZqHHcNx,It Runs Through Me,Tom Misch,Indie,261881,2018,68,0
02D9uD9WQb834Lb54xCvDS,Love U 4 Life,Jodeci,Dance,290067,1995,54,0
02dphTJYUQ9pmdNC52iyOz,Fiesta Pagana,Mägo de Oz,Rock,296751,2000,67,0
02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,Country,236627,2009,66,0
02Ey48n33H3erWJRZAtTFj,This One's for You,Luke Combs,Country,230240,2017,62,0
02gj0J38nzyO9lNi9mzi3A,Power,Little Mix,Dance,242293,2017,70,0
02grSy81O6RjD2MByWf9ge,"Bach: Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,Classical,154013,1994,48,0
02GwPAncasVL82yC7y2hmN,Raise Up,Petey Pablo,Hip-Hop,286427,2001,56,1
02hiFgacAzz7zGl5EF53eo,One-Winged Angel,Nobuo Uematsu,Anime,439093,1997,45,0
02KG9DpLT3bV4fzUM1bORW,Aquí No Es Así,Caifanes,Alternative,294267,1994,61,0
02KGkBz8Tyc9TB2RqCd9Z5,Slow Life (with Victoria Legrand),Grizzly Bear,Folk,261200,2009,48,0
02kktHzo2hLLzqDXbul3Zl,The Fun Lovin' Criminal,Fun Lovin' Criminals,Electronic,193147,1996,47,0
02KpkaZbiutsR0ucxce4Sh,This Will Be Our Year,The Zombies,Folk,127733,1968,62,0
02LAK7qT1wya0klSeNO96f,RoboCop,Kanye West,Rap,274360,2008,54,0
02LnwwnaanFpM5dZNArPBb,Ella Se Fue,Kinto Sol,Hip-Hop,287920,2005,61,0
02LrmnkHvOcQo6L2RBdfqu,"Come Together - Live From Fox Theatre Detroit, MI/2012",Godsmack,Alternative,226293,2012,49,0
02lTDOxHeXTHsdwXoz6lpC,In the Meantime,Spacehog,Alternative,299507,1995,61,0
02M2OoPaKPmkCl7kidq6nK,Theme for Maxine,Woody Shaw,Jazz,435573,1978,36,0
02M6vucOvmRfMxTXDUwRXu,07-Nov,Beyoncé,Dance,213507,2014,71,0
02O71P5xudugRmFCFsQe9E,Cold Day In The Sun,Foo Fighters,Alternative,200627,2005,50,0
02opp1cycqiFNDpLd2o1J3,Big Lie,Post Malone,Rap,207680,2016,70,1
02p3SB7cipcWK3STz7aLbK,Best of Us,Dirty Heads,Reggae,187064,2012,54,0
02pf9lLM8Nb8l4u4ts1GWb,My Nigga,YG,Hip-Hop,235600,2014,69,1
02POyqtbrdmYQ3RxsTrYMD,Are You Experienced?,Jimi Hendrix,Blues,255613,1967,50,0
02PTdS9L4BFXOtNvyM1ukF,Bittersweet Memories,Bullet For My Valentine,Alternative,308827,2010,51,0
02QPENpZVWiSrrLRXsXNqE,Roll On,Kid Rock,Alternative,374453,2007,50,0
02QQXgeAghpU4smdM7l7We,Spotlight,Jennifer Hudson,Dance,250107,2008,63,0
02qR0Dbi6JawnhEHD3UxHq,Believe,Brooks & Dunn,Country,339569,2009,47,0
02qR0hR0KIzPApfuyFRfKn,Stop-Go,Widespread Panic,Blues,290333,1998,31,0
02RDTSLWoJeM4hd8pJzGlo,Why Does Love Got To Be So Sad - Live,Derek & The Dominos,Blues,575507,1973,31,0
02rlDATSROFtjqmvs1dBKr,Snitch,Obie Trice,Hip-Hop,241253,2006,56,1
02sENi9ULQ36x9mKo5B7XW,"Louisiana Woman, Mississippi Man",Conway Twitty,Rock,151731,1973,59,0
02TQFXm2cV6uwOr2OmlYBC,Into Yesterday,Sugar Ray,Alternative,251467,2007,55,0
